time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_reproduce,schwartz_values
0,40,"(19, 35)",21.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 1.1f0, stimulation = -0.04f0, hedonism = -1.45f0, achievement = -1.4f0, power = -1.0f0, security = 0.02f0, conformity = 0.35f0, tradition = 1.01f0, benevolence = 0.44f0, universalism = 0.97f0)"
0,41,"(2, 18)",6.0,0,1,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.9f0, stimulation = -0.47f0, hedonism = 0.71f0, achievement = 1.22f0, power = -1.65f0, security = 2.19f0, conformity = -1.11f0, tradition = -0.06f0, benevolence = 0.68f0, universalism = -0.61f0)"
0,42,"(23, 13)",16.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.81f0, stimulation = 0.23f0, hedonism = 0.21f0, achievement = -0.93f0, power = -3.03f0, security = 0.23f0, conformity = -1.14f0, tradition = 0.65f0, benevolence = 0.99f0, universalism = 1.98f0)"
0,43,"(48, 9)",10.0,0,3,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.71f0, stimulation = -1.21f0, hedonism = -0.62f0, achievement = -0.45f0, power = 0.22f0, security = 0.01f0, conformity = -0.2f0, tradition = 0.51f0, benevolence = 0.13f0, universalism = 0.9f0)"
0,44,"(10, 1)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.52f0, stimulation = -0.41f0, hedonism = 1.53f0, achievement = -0.27f0, power = -0.55f0, security = -0.48f0, conformity = -0.66f0, tradition = -1.53f0, benevolence = 1.15f0, universalism = 0.7f0)"
0,45,"(44, 32)",14.0,0,6,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.17f0, stimulation = -1.66f0, hedonism = 0.36f0, achievement = 1.02f0, power = -0.48f0, security = 0.88f0, conformity = 0.33f0, tradition = -0.16f0, benevolence = 0.13f0, universalism = -0.59f0)"
0,46,"(23, 40)",21.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 1.36f0, stimulation = -1.13f0, hedonism = -0.19f0, achievement = -1.68f0, power = -1.9f0, security = 1.1f0, conformity = -0.79f0, tradition = 0.48f0, benevolence = 1.44f0, universalism = 1.32f0)"
0,47,"(5, 12)",11.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.57f0, stimulation = -0.21f0, hedonism = -1.17f0, achievement = 1.03f0, power = 0.01f0, security = 0.95f0, conformity = 0.26f0, tradition = -0.32f0, benevolence = -0.23f0, universalism = -0.89f0)"
0,48,"(44, 33)",18.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.04f0, stimulation = 0.31f0, hedonism = -1.29f0, achievement = -1.28f0, power = 0.77f0, security = -0.1f0, conformity = 1.29f0, tradition = 0.46f0, benevolence = -0.07f0, universalism = -0.13f0)"
0,49,"(6, 24)",13.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 2.19f0, stimulation = -0.38f0, hedonism = -1.2f0, achievement = -0.76f0, power = -0.57f0, security = 0.7f0, conformity = 0.0f0, tradition = -1.27f0, benevolence = 0.88f0, universalism = 0.39f0)"
0,50,"(14, 21)",25.0,0,5,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.11f0, stimulation = -1.3f0, hedonism = -0.97f0, achievement = -0.08f0, power = -1.13f0, security = 0.97f0, conformity = 2.08f0, tradition = 0.53f0, benevolence = 0.86f0, universalism = -0.87f0)"
