time,nagents,#133,#134,#135,#136,#137,#138,#139,#140,#141,#142
32,10,2,0,21,0.3152741514360313,"Dict(:p25 => 46.125, :p75 => 100.25, :p50 => 79.5, :p90 => 112.69999999999997, :p99 => 166.97000000000003, :p95 => 142.85000000000005)",4.603519647481989,27.7,0.12454873646209386,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
33,11,3,0,21,0.3412283757111345,"Dict(:p25 => 40.0, :p75 => 92.75, :p50 => 74.0, :p90 => 106.0, :p99 => 169.00000000000003, :p95 => 141.0000000000001)",3.730358656893675,26.09090909090909,0.20019005384859057,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
34,11,3,0,21,0.3348447064157789,"Dict(:p25 => 41.75, :p75 => 94.75, :p50 => 76.0, :p90 => 106.0, :p99 => 171.70000000000002, :p95 => 142.5000000000001)",3.8409118049156583,27.09090909090909,0.1928004881025016,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
35,12,5,0,21,0.3587398373983741,"Dict(:p25 => 32.625, :p75 => 94.625, :p50 => 61.0, :p90 => 104.9, :p99 => 173.63999999999993, :p95 => 140.20000000000007)",3.2402575812178904,25.75,0.2537756202804746,22,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
36,12,6,0,21,0.3485299960270163,"Dict(:p25 => 34.625, :p75 => 88.0, :p50 => 68.75, :p90 => 105.1, :p99 => 176.30999999999992, :p95 => 141.55000000000007)",3.641526352778247,26.75,0.24428868120456904,23,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
37,13,8,0,21,0.36876511148920943,"Dict(:p25 => 28.0, :p75 => 84.0, :p50 => 60.5, :p90 => 104.6, :p99 => 178.15999999999994, :p95 => 138.80000000000018)",3.849290375680563,25.615384615384617,0.2942942942942943,24,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
38,14,9,0,21,0.3813847900113507,"Dict(:p25 => 24.75, :p75 => 81.625, :p50 => 56.25, :p90 => 104.5, :p99 => 179.94999999999993, :p95 => 135.7500000000001)",2.9095931174726917,24.714285714285715,0.33443435177539227,24,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
39,13,9,0,21,0.3531817020189114,"Dict(:p25 => 32.0, :p75 => 86.0, :p50 => 66.5, :p90 => 105.39999999999999, :p99 => 183.4399999999999, :p95 => 141.2000000000002)",3.039233125658902,27.384615384615383,0.2821953327571305,25,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
40,13,9,0,21,0.3454892839342083,"Dict(:p25 => 34.0, :p75 => 88.0, :p50 => 69.5, :p90 => 105.8, :p99 => 186.07999999999993, :p95 => 142.4000000000002)",3.075890546212617,28.384615384615383,0.2722534917656869,25,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
41,13,9,0,21,0.3394860953000489,"Dict(:p25 => 36.0, :p75 => 90.0, :p50 => 69.5, :p90 => 106.80000000000001, :p99 => 188.83999999999992, :p95 => 144.20000000000022)",3.1618229302271166,29.384615384615383,0.2629883205799437,25,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
42,14,10,0,21,0.3695636149196522,"Dict(:p25 => 32.0, :p75 => 89.625, :p50 => 66.375, :p90 => 108.1, :p99 => 190.77999999999992, :p95 => 141.90000000000015)",3.249732113548476,28.214285714285715,0.30759493670886084,25,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
43,14,10,0,21,0.3610232825524575,"Dict(:p25 => 34.0, :p75 => 91.625, :p50 => 68.875, :p90 => 109.5, :p99 => 193.64999999999992, :p95 => 144.2500000000001)",3.3397141711203155,29.214285714285715,0.29706601466992666,25,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
44,15,11,0,21,0.3749019607843138,"Dict(:p25 => 33.0, :p75 => 89.0, :p50 => 62.0, :p90 => 110.19999999999999, :p99 => 195.55999999999995, :p95 => 141.80000000000024)",2.992878683644765,28.2,0.33475177304964543,25,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
45,16,13,0,21,0.3930322966507176,"Dict(:p25 => 31.0, :p75 => 86.75, :p50 => 54.0, :p90 => 110.5, :p99 => 197.45, :p95 => 139.25000000000017)",2.985854434657893,27.375,0.36558219178082196,26,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
46,18,15,0,21,0.42935400516795874,"Dict(:p25 => 24.125, :p75 => 82.75, :p50 => 42.0, :p90 => 108.10000000000001, :p99 => 197.66000000000017, :p95 => 128.3000000000002)",3.042532292347115,25.22222222222222,0.42462065589818887,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
47,19,16,0,21,0.436713967063737,"Dict(:p25 => 21.25, :p75 => 83.0, :p50 => 40.0, :p90 => 107.00000000000001, :p99 => 198.74, :p95 => 121.70000000000014)",3.1020599842521186,24.842105263157894,0.43956289027653894,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
48,20,17,0,21,0.4428540209790208,"Dict(:p25 => 18.0, :p75 => 83.75, :p50 => 41.0, :p90 => 106.30000000000001, :p99 => 199.72000000000025, :p95 => 114.60000000000008)",3.1646543212408766,24.55,0.4514256619144603,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
49,20,17,0,21,0.4300592718035563,"Dict(:p25 => 19.75, :p75 => 85.5, :p50 => 43.0, :p90 => 106.5, :p99 => 202.53000000000026, :p95 => 116.65000000000008)",3.155724992997274,25.55,0.43375733855185916,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
50,20,17,0,21,0.4183497536945813,"Dict(:p25 => 21.5, :p75 => 87.25, :p50 => 45.0, :p90 => 108.5, :p99 => 205.34000000000026, :p95 => 118.70000000000009)",3.1475028760430903,26.55,0.4174199623352166,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
51,20,17,0,21,0.4065684713375797,"Dict(:p25 => 23.5, :p75 => 89.0, :p50 => 47.0, :p90 => 110.5, :p99 => 208.15000000000026, :p95 => 120.75000000000009)",3.1399433470422395,27.55,0.40226860254083485,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
52,20,17,0,21,0.3952049497293115,"Dict(:p25 => 25.5, :p75 => 90.25, :p50 => 49.0, :p90 => 112.4, :p99 => 210.77000000000027, :p95 => 121.85000000000008)",3.2401706842867215,28.55,0.3881786339754816,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
53,20,17,0,21,0.3856203007518797,"Dict(:p25 => 27.4375, :p75 => 91.5, :p50 => 51.0, :p90 => 114.4, :p99 => 213.58000000000027, :p95 => 123.90000000000008)",3.3250075158772425,29.55,0.37504230118443305,26,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
