time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_attack_rate;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
41;11;7;0;27;19;0.0;0.0;0.0;0.4615158713020948;2.089433602371643;32.81818181818182;0.19038025686225146;2.2718685126965625;0.0;0.0;2;9;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0048828125
42;11;7;0;27;19;0.0;0.0;0.0;0.45555414282687035;2.113671907656488;33.81818181818182;0.18475073313782997;2.2718685126965625;0.0;0.0;2;9;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0048828125
43;12;8;0;27;19;0.0;0.0;0.0;0.479214340198322;2.2365384836865183;31.916666666666668;0.24782419495213226;2.253857589601352;0.0;0.0;2;10;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0048828125
44;12;8;0;27;19;0.0;0.0;0.0;0.471250186929864;2.268936747739805;32.916666666666664;0.24029535864978913;2.253857589601352;0.0;0.0;2;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0048828125
45;14;10;0;27;19;0.0;0.0;0.0;0.5168185532021872;2.2208236763378704;29.071428571428573;0.3427518427518428;2.2055983590263937;0.0;0.0;2;12;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0048828125
46;15;12;0;28;19;0.0;0.0;0.0;0.5077201136070231;2.403603694437295;25.0;0.4408888888888889;2.2459520807289133;0.0;0.0;2;13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00537109375
47;16;13;0;28;19;0.0;0.0;0.0;0.5082257523681784;2.47762419080521;24.375;0.45993589743589736;2.0140355237092673;0.0;0.0;2;14;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0048828125
48;16;14;0;28;20;0.0;0.0;0.0;0.5111589586282836;2.194706544873771;23.8125;0.48146325459317585;1.808045719583997;0.0;0.0;1;15;1.0;1.0;0.0;0.0;1.0;2.0;0.0;2.0;0.00390625
49;16;14;0;28;20;0.0;0.0;0.0;0.4944264773423146;2.291352664641424;24.8125;0.4620591939546599;1.64622455382987;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.00390625
50;16;14;0;28;20;0.0;0.0;0.0;0.4807983052112885;2.383165238332733;25.8125;0.4441585956416465;1.9273921261392741;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.00439453125
51;16;14;0;28;20;0.0;0.0;0.0;0.4687363378023899;2.354249574194747;26.8125;0.42759324009324007;2.166084939249829;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0048828125
52;16;14;0;28;20;0.0;0.0;0.0;0.45715187846876315;2.327157549415153;27.8125;0.4122191011235956;1.9927981441098428;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.00439453125
53;16;14;0;28;20;0.0;0.0;0.0;0.4472286916017796;2.301720539281025;28.8125;0.39791214750542303;1.9273921261392744;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.00439453125
54;16;14;0;28;20;0.0;0.0;0.0;0.4363292384959956;2.277790379636998;29.8125;0.3845649895178198;1.559581156259877;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.00341796875
55;16;14;0;28;20;0.0;0.0;0.0;0.42623888815178446;2.255236323143325;30.8125;0.3720841784989859;1.808045719583997;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.00390625
56;16;14;0;28;20;0.0;0.0;0.0;0.41737852410029874;2.233942526853757;31.8125;0.36038801571709245;1.836422386754159;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00390625
57;16;14;0;28;20;0.0;0.0;0.0;0.40826125667769;2.2138059654857543;32.8125;0.349404761904762;1.8364223867541591;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00390625
58;16;14;0;28;20;0.0;0.0;0.0;0.39972887060583395;2.194734688163253;33.8125;0.3390711645101663;1.808045719583997;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00390625
59;16;14;0;28;20;0.0;0.0;0.0;0.3906517355169885;2.217140997423863;34.8125;0.32933123877917425;1.9273921261392744;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.00439453125
60;13;14;3;28;20;0.0;0.0;0.0;0.16998665235179766;3.68530999573961;30.23076923076923;0.347230377764729;1.7782333057997075;0.0;0.0;1;12;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00341796875
61;13;14;3;28;20;0.0;0.0;0.0;0.16660305883018123;3.7616154011266407;31.23076923076923;0.3361121636983706;1.844621476365503;0.0;0.0;1;12;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.00341796875
62;13;14;3;28;20;0.0;0.0;0.0;0.16270016261058906;3.770068037401999;32.23076923076923;0.3256838626767029;1.844621476365503;0.0;0.0;1;12;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.00341796875
63;14;15;3;28;20;0.0;0.0;0.0;0.2035408181113969;4.221488420344507;30.857142857142858;0.3647486772486772;1.8095142558492818;0.0;0.0;1;13;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00341796875
64;15;16;3;28;20;0.0;0.0;0.0;0.2372649281290835;4.785793365799881;29.733333333333334;0.39641255605381165;1.5226999259857525;0.0;0.0;1;14;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0029296875
65;15;16;3;28;20;0.0;0.0;0.0;0.23157165807988478;5.086990726531166;30.733333333333334;0.3835140997830804;1.5226999259857525;0.0;0.0;1;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0029296875
