time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
38;20;15;0;16;29;2.1999999999999993;0.0;0.0;0.4475;2.402718245598544;19.6;0.4112244897959183;2.666148586953558;0.0;0.0;0;20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0078125
39;23;18;0;16;29;3.6999999999999993;0.0;0.0;0.49329870462998593;2.445300481966986;17.91304347826087;0.4706627268889827;2.582045485959814;0.0;0.0;0;23;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0078125
40;23;18;0;16;29;3.6999999999999993;0.0;0.0;0.48296038094052474;2.4882863160218998;18.91304347826087;0.4457771114442779;2.5475313664679273;0.0;0.0;0;23;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0078125
41;23;18;0;16;29;3.6999999999999993;0.0;0.0;0.47541479956400634;2.5316897545476134;19.91304347826087;0.4233909246250238;2.582045485959814;0.0;0.0;0;23;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0078125
42;23;18;0;16;29;3.6999999999999993;0.0;0.0;0.46696475848679175;2.575524941962382;20.91304347826087;0.4031456205369248;2.6908286215115935;0.0;0.0;0;23;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.00830078125
43;25;21;0;16;30;3.6999999999999993;0.0;0.0;0.47788778877887794;2.865189848669602;20.16;0.4339682539682539;2.9206870268936393;0.0;0.0;0;25;1.0;0.0;0.0;1.0;7.0;0.0;7.0;0.009765625
44;31;27;0;16;30;3.6999999999999993;0.0;0.0;0.49449934738019774;1.7281140712310175;17.06451612903226;0.526983352643454;3.059354848590834;0.0;0.0;0;31;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.01123046875
45;37;35;0;16;32;1.5;0.0;0.0;0.5090495636702534;1.718656108238798;15.135135135135135;0.5792471042471043;3.29703674959764;0.0;0.0;0;37;2.0;0.0;0.0;2.0;9.0;0.0;9.0;0.01416015625
46;39;37;0;16;32;1.5;0.0;0.0;0.50231129049921;1.8073190726187478;15.307692307692308;0.5667654511875619;3.1967596778031746;0.0;0.0;0;39;0.0;0.0;0.0;0.0;9.0;0.0;9.0;0.01318359375
47;39;37;0;16;32;1.5;0.0;0.0;0.4974121162230556;1.839950979549401;16.307692307692307;0.5320109659732302;3.2101762968740606;0.0;0.0;0;39;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.01318359375
48;39;37;0;16;32;1.5;0.0;0.0;0.4927655783706739;1.872360198644832;17.307692307692307;0.501272554605888;3.2946849344639157;0.0;0.0;1;38;0.0;0.0;0.0;0.0;7.0;1.0;8.0;0.01416015625
49;38;37;0;16;33;0.0;0.0;0.0;0.4816589615931719;1.8956038268912299;18.68421052631579;0.468272794662713;3.259002166174716;0.0;0.0;0;38;1.0;0.0;0.0;1.0;4.0;0.0;4.0;0.013671875
50;38;37;0;16;33;2.42;0.0;0.0;0.47450020176399366;1.9351100668069425;19.68421052631579;0.4444835350408105;3.331965027286289;0.0;0.0;0;38;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0146484375
51;41;40;0;16;33;2.42;0.0;0.0;0.4712749860013281;1.6281482603750062;19.170731707317074;0.4652144231365978;3.1808669031841275;0.0;0.0;0;41;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.01318359375
52;41;40;0;16;33;2.42;0.0;0.0;0.46725289499384837;1.6272888030913357;20.170731707317074;0.44215058837408194;3.2274411106203336;0.0;0.0;0;41;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.01416015625
53;41;40;0;16;33;2.42;0.0;0.0;0.4629162140811691;1.6217435867538603;21.170731707317074;0.4212655951444306;3.180866903184127;0.0;0.0;0;41;0.0;0.0;0.0;0.0;7.0;0.0;7.0;0.01318359375
54;41;40;0;16;33;2.42;0.0;0.0;0.45992214345788773;1.639655050068527;22.170731707317074;0.402264616705573;3.1874663325633676;0.0;0.0;0;41;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.013671875
