time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,has_spread_culture,has_accepted_culture,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_spread_culture,schwartz_values
0,26,"(44, 18)",19.0,0,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.29f0, stimulation = -0.18f0, hedonism = -0.92f0, achievement = -0.24f0, power = 0.3f0, security = 1.0f0, conformity = -0.05f0, tradition = -0.41f0, benevolence = 0.04f0, universalism = 0.18f0)"
0,27,"(37, 1)",25.0,0,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.38f0, stimulation = -0.82f0, hedonism = 1.25f0, achievement = -1.02f0, power = -0.36f0, security = 0.36f0, conformity = -1.86f0, tradition = 1.03f0, benevolence = 0.91f0, universalism = 0.14f0)"
0,28,"(26, 19)",5.0,0,2,4,male,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.52f0, stimulation = 0.28f0, hedonism = -1.88f0, achievement = -0.52f0, power = -1.69f0, security = 0.69f0, conformity = 0.27f0, tradition = 0.5f0, benevolence = 1.28f0, universalism = 0.54f0)"
0,29,"(43, 15)",14.0,0,5,4,male,"Bool[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.42f0, stimulation = -1.21f0, hedonism = -0.51f0, achievement = 1.18f0, power = -0.69f0, security = 1.06f0, conformity = -0.97f0, tradition = -0.1f0, benevolence = 0.88f0, universalism = -0.05f0)"
0,30,"(17, 36)",19.0,0,2,3,female,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.23f0, stimulation = 1.11f0, hedonism = 1.99f0, achievement = -0.06f0, power = 0.71f0, security = 0.1f0, conformity = -1.56f0, tradition = -2.37f0, benevolence = 0.1f0, universalism = -1.26f0)"
0,31,"(19, 39)",20.0,0,5,2,female,"Bool[0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.11f0, stimulation = 0.27f0, hedonism = -0.51f0, achievement = 0.38f0, power = -0.11f0, security = -1.63f0, conformity = 0.63f0, tradition = -0.19f0, benevolence = 1.02f0, universalism = 0.03f0)"
0,32,"(25, 41)",16.0,0,2,4,female,"Bool[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -1.24f0, stimulation = -1.34f0, hedonism = -1.76f0, achievement = -0.08f0, power = -0.98f0, security = 0.36f0, conformity = 0.88f0, tradition = 0.97f0, benevolence = 1.29f0, universalism = 1.92f0)"
0,33,"(26, 2)",7.0,0,2,4,female,"Bool[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -1.2f0, stimulation = -1.44f0, hedonism = 0.54f0, achievement = 0.94f0, power = -0.68f0, security = 0.66f0, conformity = 0.93f0, tradition = -0.54f0, benevolence = 0.53f0, universalism = 0.26f0)"
0,34,"(5, 33)",24.0,0,1,4,male,"Bool[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.79f0, stimulation = 0.02f0, hedonism = 0.07f0, achievement = -0.83f0, power = -1.0f0, security = 0.11f0, conformity = -0.76f0, tradition = -0.16f0, benevolence = 1.74f0, universalism = 0.01f0)"
0,35,"(31, 50)",13.0,0,4,2,male,"Bool[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.28f0, stimulation = -2.65f0, hedonism = -1.24f0, achievement = -1.45f0, power = -2.04f0, security = 0.85f0, conformity = 1.4f0, tradition = -0.44f0, benevolence = 2.08f0, universalism = 2.2f0)"
0,36,"(43, 42)",6.0,0,1,1,female,"Bool[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -1.23f0, stimulation = -1.81f0, hedonism = -1.24f0, achievement = -0.2f0, power = -0.06f0, security = 2.18f0, conformity = -0.21f0, tradition = 0.54f0, benevolence = 0.52f0, universalism = 1.5f0)"
0,37,"(24, 8)",5.0,0,6,3,female,"Bool[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.84f0, stimulation = -1.92f0, hedonism = 0.16f0, achievement = -1.53f0, power = -0.59f0, security = 0.93f0, conformity = -0.03f0, tradition = 1.48f0, benevolence = 0.48f0, universalism = 0.18f0)"
0,38,"(38, 17)",17.0,0,2,1,female,"Bool[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -1.07f0, stimulation = -0.39f0, hedonism = -1.68f0, achievement = -0.75f0, power = -1.85f0, security = 0.65f0, conformity = 2.88f0, tradition = 2.5f0, benevolence = -0.67f0, universalism = 0.38f0)"
0,39,"(9, 24)",15.0,0,1,1,female,"Bool[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.38f0, stimulation = -2.45f0, hedonism = -1.0f0, achievement = -0.28f0, power = -3.21f0, security = 0.91f0, conformity = 1.15f0, tradition = 0.04f0, benevolence = 1.76f0, universalism = 1.71f0)"
0,40,"(19, 35)",21.0,0,5,4,female,"Bool[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.75f0, stimulation = 0.06f0, hedonism = 0.21f0, achievement = -0.96f0, power = -0.96f0, security = 1.65f0, conformity = -0.76f0, tradition = 0.68f0, benevolence = 0.83f0, universalism = -0.0f0)"
0,41,"(2, 18)",6.0,0,1,3,female,"Bool[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.89f0, stimulation = -1.46f0, hedonism = -0.33f0, achievement = -0.65f0, power = -1.68f0, security = 0.45f0, conformity = 0.97f0, tradition = -0.18f0, benevolence = 1.17f0, universalism = 0.82f0)"
0,42,"(23, 13)",16.0,0,2,1,male,"Bool[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.55f0, stimulation = -1.33f0, hedonism = 0.06f0, achievement = 1.43f0, power = -0.4f0, security = -0.79f0, conformity = -1.28f0, tradition = 0.84f0, benevolence = 0.12f0, universalism = -0.2f0)"
