time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,schwartz_values
0,33,"(26, 2)",7.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.66f0, stimulation = -2.05f0, hedonism = 0.84f0, achievement = -1.3f0, power = -0.94f0, security = 1.0f0, conformity = -0.44f0, tradition = 0.71f0, benevolence = 0.68f0, universalism = 0.85f0)"
0,34,"(5, 33)",24.0,0,1,4,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = -1.15f0, stimulation = -0.54f0, hedonism = -0.97f0, achievement = 0.49f0, power = -2.48f0, security = 1.03f0, conformity = -0.25f0, tradition = 1.26f0, benevolence = 1.44f0, universalism = 1.17f0)"
0,35,"(31, 50)",13.0,0,4,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.62f0, stimulation = -0.65f0, hedonism = -0.58f0, achievement = -0.29f0, power = -0.59f0, security = 1.37f0, conformity = -0.63f0, tradition = -2.47f0, benevolence = 1.47f0, universalism = 0.75f0)"
0,36,"(43, 42)",6.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.25f0, stimulation = 0.51f0, hedonism = -0.09f0, achievement = -0.31f0, power = -2.53f0, security = -0.35f0, conformity = -0.76f0, tradition = 0.15f0, benevolence = 1.37f0, universalism = 0.76f0)"
0,37,"(24, 8)",5.0,0,6,3,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.16f0, stimulation = -0.95f0, hedonism = -0.7f0, achievement = 0.35f0, power = -1.77f0, security = 1.97f0, conformity = 0.41f0, tradition = -1.48f0, benevolence = 0.79f0, universalism = 0.23f0)"
0,38,"(38, 17)",17.0,0,2,1,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.54f0, stimulation = -0.01f0, hedonism = -1.2f0, achievement = 0.55f0, power = -1.68f0, security = -0.7f0, conformity = 0.49f0, tradition = -0.76f0, benevolence = 2.5f0, universalism = 1.34f0)"
0,39,"(9, 24)",15.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.01f0, stimulation = -0.49f0, hedonism = 0.51f0, achievement = -0.14f0, power = -0.18f0, security = 0.63f0, conformity = -1.53f0, tradition = -1.04f0, benevolence = 1.28f0, universalism = 0.95f0)"
0,40,"(19, 35)",21.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.02f0, stimulation = -0.13f0, hedonism = 1.4f0, achievement = -0.79f0, power = -1.27f0, security = 0.21f0, conformity = -0.97f0, tradition = -1.47f0, benevolence = 0.85f0, universalism = 1.16f0)"
0,41,"(2, 18)",6.0,0,1,3,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.91f0, stimulation = -1.27f0, hedonism = 1.26f0, achievement = -0.57f0, power = -0.95f0, security = -0.09f0, conformity = -0.44f0, tradition = -0.01f0, benevolence = 0.67f0, universalism = 0.49f0)"
0,42,"(23, 13)",16.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.31f0, stimulation = 0.47f0, hedonism = 0.85f0, achievement = 0.17f0, power = -1.28f0, security = -1.38f0, conformity = 0.52f0, tradition = -0.11f0, benevolence = 0.63f0, universalism = -0.17f0)"
