time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner
16,50,"(15, 38)",46.0,16,5,2,female,"Bool[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
17,2,"(18, 39)",54.0,17,6,1,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,5,"(16, 37)",68.0,17,6,1,female,"Bool[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,7,"(11, 38)",44.0,17,1,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,8,"(34, 11)",25.0,17,4,3,male,"Bool[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
17,10,"(39, 10)",59.0,17,6,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
17,11,"(36, 10)",31.0,17,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
17,12,"(35, 7)",38.0,17,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
17,13,"(12, 41)",7.0,17,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
17,14,"(20, 38)",37.0,17,2,2,male,"Bool[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
17,15,"(32, 9)",26.0,17,4,2,female,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
17,17,"(12, 43)",39.0,17,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,18,"(34, 12)",2.0,17,5,4,female,"Bool[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,21,"(6, 20)",7.0,17,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,23,"(30, 10)",55.0,17,2,1,male,"Bool[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,24,"(15, 42)",45.0,17,6,2,female,"Bool[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
17,26,"(36, 14)",12.0,17,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
17,27,"(32, 6)",19.0,17,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
17,29,"(38, 11)",12.0,17,5,4,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
17,30,"(13, 39)",32.0,17,2,3,female,"Bool[0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
17,31,"(16, 38)",53.0,17,5,2,female,"Bool[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
17,32,"(17, 42)",2.0,17,2,4,female,"Bool[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,35,"(33, 11)",42.0,17,4,2,male,"Bool[1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,37,"(35, 11)",19.0,17,6,3,female,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
17,38,"(35, 14)",57.0,17,2,1,female,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,40,"(13, 38)",18.0,17,5,4,female,"Bool[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
17,42,"(31, 9)",45.0,17,2,1,male,"Bool[1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,44,"(10, 49)",1.0,17,2,3,female,"Bool[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
17,46,"(16, 42)",54.0,17,6,2,male,"Bool[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
17,50,"(15, 37)",48.0,17,5,2,female,"Bool[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
18,2,"(17, 39)",57.0,18,6,1,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,5,"(17, 38)",71.0,18,6,1,female,"Bool[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,7,"(11, 37)",46.0,18,1,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,8,"(34, 10)",26.0,18,4,3,male,"Bool[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
18,10,"(38, 10)",62.0,18,6,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
18,11,"(35, 10)",32.0,18,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
18,12,"(36, 7)",40.0,18,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
18,13,"(14, 43)",7.0,18,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
18,14,"(20, 37)",38.0,18,2,2,male,"Bool[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
18,15,"(34, 9)",28.0,18,4,2,female,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
18,17,"(12, 42)",40.0,18,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,18,"(33, 12)",2.0,18,5,4,female,"Bool[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,21,"(6, 20)",6.0,18,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,23,"(30, 11)",57.0,18,2,1,male,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,24,"(14, 42)",47.0,18,6,2,female,"Bool[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
18,26,"(37, 14)",12.0,18,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
18,27,"(33, 6)",19.0,18,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
18,29,"(38, 12)",11.0,18,5,4,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
18,30,"(13, 41)",33.0,18,2,3,female,"Bool[0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
18,31,"(16, 39)",55.0,18,5,2,female,"Bool[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
18,32,"(17, 40)",2.0,18,2,4,female,"Bool[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,35,"(32, 11)",44.0,18,4,2,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,37,"(37, 9)",20.0,18,6,3,female,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
18,38,"(34, 14)",59.0,18,2,1,female,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,40,"(13, 37)",17.0,18,5,4,female,"Bool[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
18,42,"(30, 9)",47.0,18,2,1,male,"Bool[1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,46,"(17, 43)",55.0,18,6,2,male,"Bool[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
18,50,"(15, 36)",49.0,18,5,2,female,"Bool[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
19,2,"(13, 40)",60.0,19,6,1,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,5,"(16, 40)",74.0,19,6,1,female,"Bool[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,7,"(11, 36)",48.0,19,1,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,8,"(33, 10)",27.0,19,4,3,male,"Bool[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
19,10,"(38, 9)",65.0,19,6,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
19,11,"(35, 8)",34.0,19,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
19,12,"(36, 8)",42.0,19,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
19,13,"(15, 43)",7.0,19,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
19,14,"(21, 37)",39.0,19,2,2,male,"Bool[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
19,15,"(35, 9)",30.0,19,4,2,female,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
19,17,"(11, 42)",41.0,19,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,18,"(34, 8)",2.0,19,5,4,female,"Bool[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,21,"(6, 20)",5.0,19,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,23,"(30, 12)",59.0,19,2,1,male,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,24,"(14, 41)",49.0,19,6,2,female,"Bool[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,26,"(37, 12)",13.0,19,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
19,27,"(34, 6)",19.0,19,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
19,29,"(36, 12)",11.0,19,5,4,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
19,30,"(13, 42)",34.0,19,2,3,female,"Bool[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
19,31,"(14, 39)",57.0,19,5,2,female,"Bool[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,32,"(17, 41)",2.0,19,2,4,female,"Bool[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,35,"(32, 12)",45.0,19,4,2,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,37,"(37, 10)",21.0,19,6,3,female,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
19,38,"(34, 13)",62.0,19,2,1,female,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,40,"(12, 39)",17.0,19,5,4,female,"Bool[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
19,42,"(29, 9)",49.0,19,2,1,male,"Bool[1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,46,"(15, 41)",57.0,19,6,2,male,"Bool[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
19,50,"(14, 37)",51.0,19,5,2,female,"Bool[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
20,2,"(14, 40)",63.0,20,6,1,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,5,"(16, 41)",77.0,20,6,1,female,"Bool[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,7,"(11, 35)",50.0,20,1,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,8,"(33, 9)",28.0,20,4,3,male,"Bool[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
20,10,"(37, 8)",68.0,20,6,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
20,11,"(34, 7)",36.0,20,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
20,12,"(36, 11)",44.0,20,6,2,male,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
20,13,"(18, 41)",7.0,20,6,4,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
20,14,"(21, 38)",40.0,20,2,2,male,"Bool[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
20,15,"(36, 9)",32.0,20,4,2,female,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
20,17,"(11, 41)",42.0,20,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,18,"(33, 8)",2.0,20,5,4,female,"Bool[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,21,"(6, 20)",4.0,20,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,23,"(31, 12)",61.0,20,2,1,male,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,24,"(16, 43)",51.0,20,6,2,female,"Bool[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,26,"(36, 13)",14.0,20,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
20,27,"(34, 5)",19.0,20,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
20,29,"(35, 12)",11.0,20,5,4,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
20,30,"(13, 43)",34.0,20,2,3,female,"Bool[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
20,31,"(15, 39)",59.0,20,5,2,female,"Bool[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,32,"(18, 40)",2.0,20,2,4,female,"Bool[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,35,"(32, 10)",47.0,20,4,2,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,37,"(37, 11)",22.0,20,6,3,female,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
20,38,"(35, 13)",65.0,20,2,1,female,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,40,"(12, 40)",17.0,20,5,4,female,"Bool[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
20,42,"(29, 10)",51.0,20,2,1,male,"Bool[1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,46,"(15, 40)",59.0,20,6,2,male,"Bool[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
20,50,"(14, 38)",53.0,20,5,2,female,"Bool[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
21,2,"(13, 39)",66.0,21,6,1,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
21,5,"(16, 38)",80.0,21,6,1,female,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
21,7,"(12, 35)",52.0,21,1,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
21,8,"(32, 9)",29.0,21,4,3,male,"Bool[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
