time,#101,#102,#103,#104,#105,#106,#107,#108,#109,#110,#111,nagents
20,3.8461062681080587,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,30,20,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)","Dict(:p25 => 12.25, :p75 => 40.5, :p50 => 23.0, :p90 => 58.0, :p99 => 69.11999999999998, :p95 => 62.099999999999994)",5.47418359051091,0,33,50
21,3.912023005428145,"Dict{String, Real}(""unique_cultures"" => 50, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0244140625)",0.0,0.0,27,23,"Dict(""blue_proportion"" => 0.46, ""red_proportion"" => 0.54)","Dict(:p25 => 12.0, :p75 => 41.75, :p50 => 24.0, :p90 => 59.1, :p99 => 71.60999999999999, :p95 => 63.55)",5.736539387177728,0,33,50
22,3.8842971182057475,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 11.25, :p75 => 43.0, :p50 => 25.5, :p90 => 61.1, :p99 => 74.60999999999999, :p95 => 65.55)",5.844115968458725,0,33,50
23,3.707476831996069,"Dict{String, Real}(""unique_cultures"" => 43, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02099609375)",0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 11.0, :p75 => 44.0, :p50 => 27.5, :p90 => 63.1, :p99 => 77.60999999999999, :p95 => 67.55)",5.4584949702147485,0,34,50
24,3.762928606440865,"Dict{String, Real}(""unique_cultures"" => 45, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02197265625)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 11.0, :p75 => 45.0, :p50 => 29.0, :p90 => 64.2, :p99 => 80.60999999999999, :p95 => 69.55)",5.659310094561265,0,36,50
25,3.735202719218467,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 11.25, :p75 => 46.0, :p50 => 30.5, :p90 => 67.1, :p99 => 83.60999999999999, :p95 => 71.55)",5.708968007579893,0,38,50
26,3.8288453437609515,"Dict{String, Real}(""unique_cultures"" => 47, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02294921875)",0.0,0.0,31,19,"Dict(""blue_proportion"" => 0.38, ""red_proportion"" => 0.62)","Dict(:p25 => 11.25, :p75 => 47.0, :p50 => 31.5, :p90 => 70.0, :p99 => 86.60999999999999, :p95 => 73.55)",5.756887386041576,0,40,50
27,3.7456676820937584,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 15.0, :p75 => 48.75, :p50 => 32.5, :p90 => 72.1, :p99 => 88.60999999999999, :p95 => 75.55)",5.880115084865046,0,42,50
28,3.8011194565385535,"Dict{String, Real}(""unique_cultures"" => 46, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0224609375)",0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 13.25, :p75 => 50.75, :p50 => 33.5, :p90 => 74.1, :p99 => 91.60999999999999, :p95 => 77.55)",5.497564770181708,0,42,50
29,3.7456676820937576,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 14.25, :p75 => 53.0, :p50 => 35.0, :p90 => 76.2, :p99 => 93.13999999999997, :p95 => 79.55)",5.233823787589914,0,44,50
