time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,schwartz_values
0,27,"(37, 1)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.62f0, stimulation = -1.48f0, hedonism = 0.94f0, achievement = 1.5f0, power = -0.62f0, security = 0.43f0, conformity = -0.95f0, tradition = -0.24f0, benevolence = 0.45f0, universalism = -0.65f0)"
0,28,"(26, 19)",5.0,0,2,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.74f0, stimulation = -1.04f0, hedonism = -0.91f0, achievement = -0.72f0, power = -0.77f0, security = 3.12f0, conformity = -1.01f0, tradition = 0.07f0, benevolence = 1.48f0, universalism = 0.54f0)"
0,29,"(43, 15)",14.0,0,5,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.28f0, stimulation = -2.54f0, hedonism = -1.36f0, achievement = -1.56f0, power = -1.49f0, security = 1.76f0, conformity = 0.97f0, tradition = 1.54f0, benevolence = 2.21f0, universalism = 0.74f0)"
0,30,"(17, 36)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.03f0, stimulation = 0.23f0, hedonism = 2.33f0, achievement = 0.87f0, power = -0.31f0, security = -1.16f0, conformity = -0.52f0, tradition = -1.39f0, benevolence = 0.3f0, universalism = -0.32f0)"
0,31,"(19, 39)",20.0,0,5,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.28f0, stimulation = -0.08f0, hedonism = 0.48f0, achievement = 0.13f0, power = 0.6f0, security = -0.01f0, conformity = 0.8f0, tradition = -0.07f0, benevolence = -0.14f0, universalism = -1.43f0)"
0,32,"(25, 41)",16.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.29f0, stimulation = -1.59f0, hedonism = -1.27f0, achievement = -0.83f0, power = 0.93f0, security = 1.28f0, conformity = 1.19f0, tradition = 1.24f0, benevolence = -0.25f0, universalism = -0.4f0)"
0,33,"(26, 2)",7.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.39f0, stimulation = -0.63f0, hedonism = -0.49f0, achievement = 0.08f0, power = 0.18f0, security = 0.78f0, conformity = 0.56f0, tradition = -0.16f0, benevolence = 0.3f0, universalism = -0.23f0)"
0,34,"(5, 33)",24.0,0,1,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 2.24f0, stimulation = -0.11f0, hedonism = -2.34f0, achievement = -0.75f0, power = -0.03f0, security = 0.52f0, conformity = -0.27f0, tradition = -1.27f0, benevolence = 1.26f0, universalism = 0.76f0)"
0,35,"(31, 50)",13.0,0,4,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 1.17f0, stimulation = -0.17f0, hedonism = 0.16f0, achievement = 1.41f0, power = 0.29f0, security = -0.83f0, conformity = -1.25f0, tradition = -1.24f0, benevolence = 0.57f0, universalism = -0.1f0)"
0,36,"(43, 42)",6.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.28f0, stimulation = 0.16f0, hedonism = 1.76f0, achievement = 0.28f0, power = -2.06f0, security = 0.2f0, conformity = -0.14f0, tradition = -0.27f0, benevolence = -0.09f0, universalism = -0.13f0)"
0,37,"(24, 8)",5.0,0,6,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 1.15f0, stimulation = 0.68f0, hedonism = -1.67f0, achievement = -0.52f0, power = -0.94f0, security = 1.04f0, conformity = -0.75f0, tradition = 1.52f0, benevolence = -0.39f0, universalism = -0.12f0)"
0,38,"(38, 17)",17.0,0,2,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.32f0, stimulation = -2.27f0, hedonism = -0.56f0, achievement = -1.22f0, power = -1.06f0, security = 0.9f0, conformity = 0.12f0, tradition = 1.43f0, benevolence = 1.44f0, universalism = 1.55f0)"
0,39,"(9, 24)",15.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.07f0, stimulation = -0.03f0, hedonism = 0.48f0, achievement = -0.47f0, power = -0.56f0, security = -0.82f0, conformity = 1.67f0, tradition = -0.37f0, benevolence = 0.69f0, universalism = -0.53f0)"
0,40,"(19, 35)",21.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.54f0, stimulation = -1.34f0, hedonism = -0.91f0, achievement = -2.07f0, power = -0.96f0, security = 1.23f0, conformity = 1.27f0, tradition = 0.66f0, benevolence = 0.79f0, universalism = 1.86f0)"
0,41,"(2, 18)",6.0,0,1,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.32f0, stimulation = -1.89f0, hedonism = -0.86f0, achievement = -0.48f0, power = 0.94f0, security = 0.26f0, conformity = 0.16f0, tradition = 0.71f0, benevolence = 0.8f0, universalism = 0.68f0)"
0,42,"(23, 13)",16.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.39f0, stimulation = -0.75f0, hedonism = -0.27f0, achievement = -0.51f0, power = -0.19f0, security = 1.16f0, conformity = 0.04f0, tradition = 1.77f0, benevolence = -0.38f0, universalism = -0.49f0)"
0,43,"(48, 9)",10.0,0,3,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.7f0, stimulation = -0.3f0, hedonism = -1.54f0, achievement = -0.34f0, power = -0.88f0, security = -0.24f0, conformity = 0.5f0, tradition = -0.28f0, benevolence = 1.22f0, universalism = 1.17f0)"
0,44,"(10, 1)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.21f0, stimulation = -0.67f0, hedonism = 0.64f0, achievement = -0.57f0, power = -0.19f0, security = 0.6f0, conformity = -1.08f0, tradition = -0.17f0, benevolence = 1.06f0, universalism = 0.18f0)"
0,45,"(44, 32)",14.0,0,6,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.18f0, stimulation = -1.45f0, hedonism = 0.5f0, achievement = -1.44f0, power = -1.1f0, security = 2.14f0, conformity = 0.74f0, tradition = -0.04f0, benevolence = 1.26f0, universalism = -0.79f0)"
0,46,"(23, 40)",21.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.22f0, stimulation = -0.77f0, hedonism = -0.64f0, achievement = -0.22f0, power = -0.96f0, security = 0.6f0, conformity = -0.46f0, tradition = 0.99f0, benevolence = 0.93f0, universalism = 0.75f0)"
0,47,"(5, 12)",11.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.19f0, stimulation = -1.93f0, hedonism = -0.47f0, achievement = 0.06f0, power = -0.91f0, security = 0.98f0, conformity = -0.29f0, tradition = 1.45f0, benevolence = 0.56f0, universalism = 0.74f0)"
0,48,"(44, 33)",18.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.68f0, stimulation = -0.75f0, hedonism = -1.63f0, achievement = 0.7f0, power = -1.08f0, security = 0.67f0, conformity = -0.83f0, tradition = 0.21f0, benevolence = 1.99f0, universalism = 0.02f0)"
