time,total_credit_outstanding,credit_default_rate,gini_coefficient,nagents
122,14.2,0.3333333333333333,0.42356272258968697,50
123,14.2,0.3333333333333333,0.4314265200287928,50
124,14.2,0.3333333333333333,0.42584292713429406,50
125,14.2,0.3333333333333333,0.43134392049831516,50
126,15.2,0.25,0.42407760505378245,50
127,5.2,0.3333333333333333,0.4215742650003038,50
128,5.2,0.3333333333333333,0.40821377828617056,50
129,5.2,0.3333333333333333,0.41135462477382756,50
130,5.2,0.3333333333333333,0.42417023174258905,50
131,5.2,0.3333333333333333,0.4270563998367616,50
132,5.2,0.3333333333333333,0.43010598805034417,50
133,5.2,0.3333333333333333,0.43449725797878225,50
134,5.2,0.3333333333333333,0.43382688646844514,50
135,4.2,0.5,0.4336797158822594,50
136,3.2,1.0,0.43800643375076675,50
137,3.2,1.0,0.4346162221610439,50
