time,nagents,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,deaths_age,deaths_starvation,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_gini_coefficient
78,50,3.6902159076489625,0.0,0.0,"Dict(:p25 => 21.5, :p75 => 100.75, :p50 => 39.2655, :p90 => 148.4, :p99 => 208.31599999999997, :p95 => 183.39999999999998)",4.3179315197050885,13,73,12.9,0.2,0.46762123891454443
79,50,3.707476831996069,0.0,0.0,"Dict(:p25 => 22.25, :p75 => 93.75, :p50 => 39.7655, :p90 => 153.90200000000002, :p99 => 211.316, :p95 => 185.95)",3.4856465082362447,14,74,4.1,0.0,0.4788355127001658
80,50,3.679750944773672,0.0,0.0,"Dict(:p25 => 23.0, :p75 => 95.5, :p50 => 40.2655, :p90 => 156.90200000000002, :p99 => 214.31599999999997, :p95 => 188.49999999999997)",3.490269195813184,14,74,4.1,0.0,0.48417940057125985
81,50,3.679750944773671,0.0,0.0,"Dict(:p25 => 22.25, :p75 => 95.25, :p50 => 41.0, :p90 => 159.90200000000004, :p99 => 216.826, :p95 => 191.04999999999995)",3.501724548213525,14,74,4.1,0.0,0.48876889714214156
82,50,3.652025057551273,0.0,0.0,"Dict(:p25 => 22.25, :p75 => 97.5, :p50 => 42.0, :p90 => 162.90200000000002, :p99 => 218.826, :p95 => 193.59999999999997)",3.4326859535305174,14,74,3.1,0.0,0.4925680618716859
83,50,3.7179417948713605,0.0,0.0,"Dict(:p25 => 21.25, :p75 => 96.25, :p50 => 42.5, :p90 => 165.80200000000002, :p99 => 221.826, :p95 => 194.49999999999997)",2.8371608328358264,15,75,2.1,1.0,0.4969198581496179
84,50,3.773393569316156,0.0,0.0,"Dict(:p25 => 15.25, :p75 => 98.0, :p50 => 42.5, :p90 => 167.90200000000004, :p99 => 223.356, :p95 => 197.04999999999995)",2.8849701242178507,18,77,2.1,1.0,0.5130654600227926
85,50,3.762928606440865,0.0,0.0,"Dict(:p25 => 16.0, :p75 => 99.75, :p50 => 43.0, :p90 => 170.002, :p99 => 226.356, :p95 => 199.59999999999997)",2.9136036472834825,18,77,2.1,1.0,0.5188504591788907
86,50,3.762928606440865,0.0,0.0,"Dict(:p25 => 17.25, :p75 => 100.75, :p50 => 44.0, :p90 => 172.10200000000003, :p99 => 228.86599999999999, :p95 => 201.59999999999997)",3.0080406941667563,18,79,2.1,1.0,0.511158316538374
87,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 18.5, :p75 => 102.5, :p50 => 45.0, :p90 => 174.10200000000003, :p99 => 231.37599999999998, :p95 => 203.59999999999997)",3.1047407741232114,18,80,18.1,1.0,0.5070635136980928
88,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 19.0, :p75 => 99.0, :p50 => 41.082499999999996, :p90 => 176.20200000000003, :p99 => 230.265, :p95 => 206.14999999999998)",2.8914418079193034,20,82,24.200000000000003,0.75,0.5065133879450971
89,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 19.0, :p75 => 99.5, :p50 => 40.582499999999996, :p90 => 176.802, :p99 => 223.92499999999995, :p95 => 197.49999999999997)",2.570997762513891,21,82,18.1,1.0,0.5083132162572734
90,50,3.762928606440865,0.0,0.0,"Dict(:p25 => 19.0, :p75 => 100.5, :p50 => 41.582499999999996, :p90 => 177.27800000000002, :p99 => 226.41499999999996, :p95 => 199.95)",2.5064485041404656,22,82,24.1,0.75,0.50453363742258
91,50,3.7179417948713596,0.0,0.0,"Dict(:p25 => 17.5, :p75 => 101.5, :p50 => 40.5, :p90 => 180.27800000000002, :p99 => 228.90499999999997, :p95 => 201.95)",2.594849814282399,24,82,24.1,0.75,0.5216456228735387
92,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 13.0, :p75 => 83.0, :p50 => 32.0, :p90 => 160.50000000000003, :p99 => 223.55499999999995, :p95 => 193.05099999999996)",2.7934079609678224,27,83,24.1,0.75,0.5460733236772426
93,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 12.0, :p75 => 74.13275, :p50 => 28.5, :p90 => 145.60000000000002, :p99 => 205.11999999999998, :p95 => 186.97899999999998)",2.967351353671375,29,85,24.1,0.75,0.5458294796543148
94,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 13.25, :p75 => 75.38275, :p50 => 29.5, :p90 => 147.70000000000005, :p99 => 208.11999999999998, :p95 => 189.529)",2.9983282203095727,29,87,25.1,0.6,0.5413695011933599
95,50,3.8011194565385535,0.0,0.0,"Dict(:p25 => 11.0, :p75 => 65.14825, :p50 => 24.0, :p90 => 134.50000000000003, :p99 => 211.11999999999998, :p95 => 180.82899999999992)",2.9769917105372916,30,87,25.1,0.6,0.5572267382904346
96,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 11.5, :p75 => 51.5, :p50 => 22.5, :p90 => 122.9, :p99 => 194.0299999999999, :p95 => 142.79999999999995)",1.6655286947514583,33,90,34.1,0.5,0.5438101121361232
97,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 12.25, :p75 => 53.25, :p50 => 22.0, :p90 => 125.00000000000001, :p99 => 196.5399999999999, :p95 => 144.34999999999997)",1.7043102994078518,33,93,18.1,0.4,0.5396740442850358
98,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 12.0, :p75 => 54.25, :p50 => 23.0, :p90 => 127.00000000000001, :p99 => 199.0499999999999, :p95 => 146.34999999999997)",1.740110364041866,34,95,18.1,0.4,0.5377867708108044
99,50,3.7906544936632622,0.0,0.0,"Dict(:p25 => 13.5, :p75 => 56.0, :p50 => 24.0, :p90 => 128.9, :p99 => 201.5599999999999, :p95 => 148.79999999999995)",1.7759386025814994,34,97,18.1,0.4,0.5294231993207663
100,50,3.790654493663263,0.0,0.0,"Dict(:p25 => 12.5, :p75 => 62.75, :p50 => 24.0, :p90 => 130.8, :p99 => 203.2659999999999, :p95 => 151.79999999999995)",1.812274480443463,34,97,12.7,0.6,0.5390923983500779
101,50,3.8183803808856602,0.0,0.0,"Dict(:p25 => 17.0, :p75 => 64.25, :p50 => 25.0, :p90 => 132.70000000000002, :p99 => 205.7759999999999, :p95 => 154.79999999999995)",1.8460748573813952,34,101,12.7,0.6,0.5079983681363036
