time,#125,#126,#127,#128,nagents
45,53.0,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3754793575867095,50
46,53.0,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3786964587152635,50
47,54.0,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 4)",0.37596496900147436,50
48,54.0,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 4)",0.3789175223351411,50
49,41.2,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 4)",0.37464269478577394,50
50,48.32,0.375,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.36896435606889644,50
51,48.32,0.375,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.37075610362488165,50
52,49.2,0.375,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.35787007599695353,50
53,51.75,0.5,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3577170283673241,50
54,52.15,0.5,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.358376901700344,50
55,45.85,0.6,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3544997865003481,50
56,47.85,0.5,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.35850019719420834,50
57,47.85,0.5,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3615338035417166,50
58,45.85,0.4,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 2)",0.36186549849156635,50
59,46.85,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.35661225388255846,50
60,47.85,0.2857142857142857,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3974521757545033,50
61,47.85,0.2857142857142857,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.40156582120634754,50
62,28.169999999999998,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 3)",0.42645739323449616,50
63,34.62,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4223259298397901,50
64,39.06,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 3)",0.42399378523714715,50
65,39.06,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 3)",0.42650726894168356,50
66,37.06,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.42669747308046113,50
67,37.06,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4330549979050151,50
68,37.06,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.46012213740457986,50
69,35.06,0.25,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 1)",0.49057619434962096,50
70,40.06,0.2,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 1)",0.4975809515478382,50
71,43.06,0.2857142857142857,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.49372200540378275,50
72,49.16,0.1111111111111111,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4970787140664863,50
73,51.16,0.1,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4876972855938231,50
74,46.72,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.5054523610777748,50
75,46.72,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.5067192599416048,50
76,43.62,0.125,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.5226648750961345,50
77,45.62,0.1111111111111111,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 3)",0.52373157298875,50
78,45.62,0.1111111111111111,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 3)",0.5112604249057242,50
79,28.4,0.0,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.5028010975955133,50
80,23.4,0.0,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 3)",0.5077944882103587,50
81,31.2,0.0,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 3)",0.5114106628543884,50
82,31.5,0.0,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 3)",0.5086545723084215,50
83,33.6,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.514206374513922,50
84,29.200000000000003,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.5154680124322268,50
85,30.200000000000003,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 3)",0.5048098661903471,50
86,30.200000000000003,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 3)",0.505305571133575,50
87,28.200000000000003,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4976799301070185,50
88,20.7,0.2,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 3)",0.5117335476591525,50
89,20.7,0.2,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4994029573986756,50
90,20.7,0.2,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 3)",0.49840388499233335,50
91,16.4,0.5,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.06, ""n_nodes"" => 50, ""max_degree"" => 1)",0.49182113569164554,50
92,16.73,0.5,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5021778792631062,50
93,16.73,0.5,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5207363006763599,50
94,3.63,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.02, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5181216133445663,50
95,5.63,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5216233123654908,50
96,5.63,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5224996778357798,50
97,5.63,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5059763353632061,50
98,5.63,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5129525209479047,50
99,5.63,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5184142684898532,50
100,5.63,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5151144390076223,50
101,5.63,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.4985979384742789,50
102,2.0,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.02, ""n_nodes"" => 50, ""max_degree"" => 1)",0.49115376121638277,50
103,2.0,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.02, ""n_nodes"" => 50, ""max_degree"" => 1)",0.4924222814561161,50
104,2.0,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.02, ""n_nodes"" => 50, ""max_degree"" => 1)",0.4959784726976746,50
105,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.4709637160831164,50
106,7.5,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.47212025633473975,50
107,7.5,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.458729758754318,50
108,7.5,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.46934236309624655,50
109,10.0,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.08, ""n_nodes"" => 50, ""max_degree"" => 2)",0.46219462203698014,50
110,12.0,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4681147466534221,50
111,12.0,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4629666404289794,50
112,13.0,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 4)",0.4679250776154156,50
113,13.0,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 4)",0.4628333867591796,50
114,13.0,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 4)",0.46563553012424275,50
115,13.0,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 4)",0.4568176495963516,50
116,5.5,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4433724932007377,50
117,5.5,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4391860368217331,50
118,5.5,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4176342313847652,50
119,10.0,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4186579681550586,50
120,13.0,0.5,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4194997445248443,50
121,13.0,0.5,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.42178886238924207,50
122,13.0,0.5,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.42610173642856664,50
