time,total_credit_outstanding,credit_default_rate,credit_network_metrics,gini_coefficient,nagents
95,18.5,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.06, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5293097385890095,50
96,17.5,0.5,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5257042189587269,50
97,17.5,0.5,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.5349578535123569,50
98,18.700000000000003,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.08, ""n_nodes"" => 50, ""max_degree"" => 1)",0.506081086287419,50
99,18.700000000000003,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.08, ""n_nodes"" => 50, ""max_degree"" => 1)",0.505135559904947,50
100,19.700000000000003,0.25,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 1)",0.4903919674983599,50
101,20.700000000000003,0.2,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.49522951433181883,50
102,4.2,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4923800306054382,50
103,5.2,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4979739855971761,50
104,5.2,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4975131090113132,50
